,ts_code,trade_date,close,vol,amount
148,000725.SZ,20191212,4.01,5426401.91,2187396.427
149,000725.SZ,20191211,4.0,8135561.04,3280377.773
150,000725.SZ,20191210,4.13,7503044.17,3065670.218
151,000725.SZ,20191209,4.12,9452985.59,3908280.308
152,000725.SZ,20191206,4.07,6892644.35,2810970.559
153,000725.SZ,20191205,4.04,7515706.13,3033206.5
154,000725.SZ,20191204,4.04,11901621.98,4815838.503
155,000725.SZ,20191203,3.96,7094609.63,2788628.253
156,000725.SZ,20191202,3.89,4365313.48,1703950.731
157,000725.SZ,20191129,3.9,6988086.45,2727733.102
158,000725.SZ,20191128,3.84,4793225.65,1860724.536
159,000725.SZ,20191127,3.89,6601092.79,2557369.833
160,000725.SZ,20191126,3.86,12811642.42,4941474.04
161,000725.SZ,20191125,3.71,4133552.9,1522029.971
162,000725.SZ,20191122,3.65,3304662.01,1212888.779
163,000725.SZ,20191121,3.67,2907923.39,1067743.533
164,000725.SZ,20191120,3.66,2911603.72,1070573.23
165,000725.SZ,20191119,3.73,3650470.91,1348246.576
166,000725.SZ,20191118,3.72,4860197.19,1815885.726
167,000725.SZ,20191115,3.69,5371237.38,2007466.616
168,000725.SZ,20191114,3.76,8837144.31,3308338.733
169,000725.SZ,20191113,3.64,2345921.65,852734.153
170,000725.SZ,20191112,3.66,4487384.77,1626364.969
171,000725.SZ,20191111,3.56,2935350.11,1046893.911
172,000725.SZ,20191108,3.63,2677706.81,978886.679
173,000725.SZ,20191107,3.68,4663751.53,1702371.939
174,000725.SZ,20191106,3.6,2199982.78,794318.298
175,000725.SZ,20191105,3.61,2414226.56,868086.503
176,000725.SZ,20191104,3.6,2103383.06,759314.277
177,000725.SZ,20191101,3.59,2037926.01,730116.158
178,000725.SZ,20191031,3.57,3802808.35,1355605.468
179,000725.SZ,20191030,3.64,2160268.46,783372.298
180,000725.SZ,20191029,3.66,2554806.08,940871.426
181,000725.SZ,20191028,3.74,3186203.9,1184943.139
182,000725.SZ,20191025,3.7,2399926.3,884564.993
183,000725.SZ,20191024,3.71,2841403.85,1056256.432
184,000725.SZ,20191023,3.75,4746760.34,1766744.367
185,000725.SZ,20191022,3.66,2226906.29,812419.876
186,000725.SZ,20191021,3.6,2590019.63,928831.944
187,000725.SZ,20191018,3.64,3147035.03,1154455.042
188,000725.SZ,20191017,3.7,2165048.45,803075.638
189,000725.SZ,20191016,3.72,2029784.4,756666.803
190,000725.SZ,20191015,3.74,2749784.96,1030625.695
191,000725.SZ,20191014,3.8,3861379.01,1471017.421
192,000725.SZ,20191011,3.76,2770303.26,1040286.468
193,000725.SZ,20191010,3.77,2823009.72,1062174.642
194,000725.SZ,20191009,3.75,2855605.67,1060096.35
195,000725.SZ,20191008,3.75,2949525.62,1114647.246
196,000725.SZ,20190930,3.75,2688977.03,1016568.386
197,000725.SZ,20190927,3.76,2776948.45,1043538.673
198,000725.SZ,20190926,3.71,4124926.27,1541990.739
199,000725.SZ,20190925,3.77,7275235.63,2761817.977
200,000725.SZ,20190924,3.9,4153125.27,1625722.997
201,000725.SZ,20190923,3.9,3887609.53,1513638.802
202,000725.SZ,20190920,3.94,4674507.42,1839341.082
203,000725.SZ,20190919,3.95,4766016.91,1870307.53
204,000725.SZ,20190918,3.89,4149088.59,1616723.844
205,000725.SZ,20190917,3.91,7805528.82,3066506.645
206,000725.SZ,20190916,4.03,5921681.6,2388920.73
207,000725.SZ,20190912,4.03,7280440.12,2925323.245
208,000725.SZ,20190911,4.05,13820497.83,5658247.693
209,000725.SZ,20190910,4.01,12421147.09,5018672.959
210,000725.SZ,20190909,4.1,15309328.48,6151281.21
211,000725.SZ,20190906,3.91,9682187.44,3764083.709
212,000725.SZ,20190905,3.84,11371775.67,4352431.266
213,000725.SZ,20190904,3.74,4861957.46,1808578.52
214,000725.SZ,20190903,3.74,4807131.52,1793953.755
215,000725.SZ,20190902,3.72,5516023.96,2046268.673
216,000725.SZ,20190830,3.66,5944559.96,2197797.508
217,000725.SZ,20190829,3.72,5629159.29,2099917.824
218,000725.SZ,20190828,3.78,6220022.92,2350775.054
219,000725.SZ,20190827,3.85,9107579.92,3514581.068
220,000725.SZ,20190826,3.88,6307841.72,2443908.12
221,000725.SZ,20190823,3.97,7371892.69,2915400.681
222,000725.SZ,20190822,3.98,11981806.17,4801617.307
223,000725.SZ,20190821,3.87,4700258.33,1821456.694
224,000725.SZ,20190820,3.9,5872800.17,2300829.884
225,000725.SZ,20190819,3.93,8219020.15,3208292.07
226,000725.SZ,20190816,3.82,6175871.76,2363950.015
227,000725.SZ,20190815,3.85,6014693.91,2281009.123
228,000725.SZ,20190814,3.86,8294571.17,3232309.773
229,000725.SZ,20190813,3.8,5029275.85,1908723.448
230,000725.SZ,20190812,3.85,7015737.7,2664174.591
231,000725.SZ,20190809,3.72,7003129.48,2633121.353
232,000725.SZ,20190808,3.83,6888492.52,2602926.151
233,000725.SZ,20190807,3.71,5950370.19,2239754.06
234,000725.SZ,20190806,3.76,10434628.79,3879617.849
235,000725.SZ,20190805,3.83,8747821.03,3400299.255
236,000725.SZ,20190802,3.93,9153162.26,3596817.775
237,000725.SZ,20190801,4.04,5674413.96,2294595.314
238,000725.SZ,20190731,4.05,8587757.73,3483431.327
239,000725.SZ,20190730,4.13,12379283.1,5218000.348
240,000725.SZ,20190729,4.3,11129691.67,4733743.218
